PID_79,HHID_79,core_sample,sample_wgts,month_born,year_born,live_with_mom_at_14,live_with_dad_at_14,single_mom_at_14,usborn,male,hispanic,black,AFQT_HS,AFQT,ROTTER,ROSENBERG,HGC_Age28,HGC_Age24,HGC_FATH79r,HGC_MOTH79r,real_earnings_1978,real_earnings_1979,real_earnings_1980,real_earnings_1981,real_earnings_1982,real_earnings_1983,real_earnings_1984,real_earnings_1985,real_earnings_1986,real_earnings_1987,real_earnings_1988,real_earnings_1989,real_earnings_1990,real_earnings_1991,real_earnings_1992,real_earnings_1993,real_earnings_1995,real_earnings_1997,real_earnings_1999,real_earnings_2001,real_earnings_2003,real_earnings_2005,real_earnings_2007,real_earnings_2009,real_earnings_2011,weeks_worked_1978,weeks_worked_1979,weeks_worked_1980,weeks_worked_1981,weeks_worked_1982,weeks_worked_1983,weeks_worked_1984,weeks_worked_1985,weeks_worked_1986,weeks_worked_1987,weeks_worked_1988,weeks_worked_1989,weeks_worked_1990,weeks_worked_1991,weeks_worked_1992,weeks_worked_1993,weeks_worked_1995,weeks_worked_1997,weeks_worked_1999,weeks_worked_2001,weeks_worked_2003,weeks_worked_2005,weeks_worked_2007,weeks_worked_2009,weeks_worked_2011,NORTH_EAST_79,NORTH_CENTRAL_79,SOUTH_79,WEST_79
2769,2768,1,137868,5,62,1,1,0,1,0,0,1,0,7.2410002,6,380,11,,0,5,,,0,0,0,0,0,0,654.56592,1727.5564,0,0,0,0,0,0,744.02307,1766.1857,39265.785,11820.088,14221.044,,0,13514.091,24235.016,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,4,52,52,52,52,52,52,52,52,0,0,1,0
2770,2770,1,160752,5,59,1,1,0,1,0,0,1,1,62.129002,8,647,16,16,16,12,10033.252,4505.2891,4498.728,3598.2839,1129.8239,21893.172,41974.207,46610.484,47749.488,49907.184,60827.117,63306.582,60061.332,56034.949,62168.496,57343.445,54370.918,47551.152,49736.664,49250.367,61624.523,63641.535,63100.387,59967.762,60102.836,44,34,30,50,20,26,45,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,0,0,1,0
2771,2770,1,148637,8,60,1,1,0,1,0,0,1,1,30.365,8,551,16,16,16,12,1672.2086,1501.7631,1100.8652,0,3163.5068,4159.7026,14690.972,8106.1709,,0,0,0,0,0,0,0,0,0,0,0,0,11165.182,20192.123,20328.055,22296.213,4,16,26,0,20,12,52,35,,0,0,0,0,0,0,0,0,0,0,0,0,52,52,51,52,0,0,1,0
2772,2770,1,143761,10,63,1,1,0,1,1,0,1,0,16.598,8,435,12,12,16,12,,,,959.54236,1807.7181,4378.6348,12592.262,36477.77,19895.621,47987.676,46081.148,47479.934,58392.961,46428.957,49734.797,42253.066,31477.9,35323.715,34030.348,19700.146,24886.826,23446.881,24188.48,17278.848,26173.816,,,0,6,6,18,49,47,41,52,52,52,52,52,52,48,52,52,52,52,52,52,52,52,52,0,0,1,0
2773,2773,1,132102,11,61,1,1,0,1,1,0,1,1,31.629999,9,551,14,14,5,11,,,2646.3108,2638.7415,9038.5908,8026.0371,,10132.714,11937.372,24953.592,22118.951,24619.227,26693.926,35221.969,37301.098,24144.609,21462.205,25813.482,24868.332,25856.443,35552.609,37961.617,36808.559,12196.833,19388.012,25,52,21,28,52,35,28,52,52,49,49,52,52,52,52,48,52,52,52,52,52,52,52,52,52,0,0,1,0
2774,2774,1,602838,5,57,1,1,0,1,1,0,0,1,68.643997,7,457,14,14,7,4,36955.809,51510.473,44987.281,53494.484,40673.656,16419.879,46171.625,46610.484,47749.488,42229.156,42394.656,45721.418,43377.629,46428.957,46626.371,41672.086,42924.41,40758.129,78531.57,59100.441,71105.219,66991.094,73617.117,50820.137,43623.027,39,52,52,52,34,20,44,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,41,52,0,0,1,0
2775,2774,1,472837,7,60,1,1,0,1,0,0,0,1,76.999001,5,498,12,12,8,5,5351.0674,0,4498.728,616.50598,3479.8574,0,2518.4524,20265.428,23874.744,23034.084,11612.449,17585.162,20020.443,25615.977,24867.398,24144.609,18600.578,19020.461,32721.488,19700.146,30812.262,21772.104,31550.193,30492.082,9694.0059,13,0,12,18,45,0,8,52,52,52,41,25,52,52,52,52,48,52,52,52,52,52,52,52,14,,,,
2776,2774,1,521325,12,61,1,1,0,1,1,0,0,1,84.667,9,582,14,14,8,5,,4189.9189,7938.9321,2420.4456,2711.5771,19703.855,0,0,19.89562,0,0,0,23357.184,33620.969,4351.7949,48289.219,0,0,0,0,0,0,0,0,0,52,52,35,34,32,47,0,0,0,0,0,0,26,52,48,52,52,52,52,52,52,52,52,52,52,0,0,1,0
2777,2777,1,473153,6,60,0,0,0,1,1,0,0,0,16.674999,10,,7,7,,,5016.626,,26463.107,52774.828,27115.771,3721.8394,44072.918,14848.479,,57585.211,,,77011.977,64039.941,62168.496,75451.906,35770.34,54344.176,,36937.773,9599.2041,64758.055,42066.922,17069.469,0,50,,42,52,32,0,51,37,45,50,,48,52,50,44,28,52,0,14,24,0,52,52,0,0,0,0,1,0
2778,2777,1,472837,9,60,1,0,1,1,0,0,0,0,6.881,6,,9,9,8,12,26086.453,,0,0,0,210.17445,4197.4204,1013.2714,0,9981.4365,5898.3872,4449.0459,0,0,0,0,0,0,5497.21,12312.592,0,0,0,15246.041,3877.6023,3,,0,0,0,1,17,41,0,9,52,30,9,0,0,0,0,0,29,0,0,0,52,52,52,0,0,1,0
2779,2779,1,473153,12,60,1,1,0,1,1,0,0,1,17.441999,8,382,12,12,9,9,802.6601,1501.7631,37048.348,57572.543,40221.727,15325.221,44072.918,32424.684,41780.805,36470.633,35021.672,43083.645,56724.59,62438.941,57505.859,59607.004,55801.73,52985.57,52354.383,49250.367,47403.477,,0,40656.109,55255.832,46,52,50,52,44,23,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,,52,52,52,0,0,1,0
2780,2780,1,500995,10,64,1,1,0,1,1,0,0,0,10.37,12,,12,12,10,9,,,,,1129.8239,2001.036,14690.972,9119.4424,19895.621,9213.6338,25805.443,21102.193,26693.926,19211.982,25489.084,22635.57,21462.205,,28794.91,59100.441,30812.262,35728.582,35756.883,30492.082,38776.023,,,,11,8,28,52,52,52,44,52,52,48,52,52,52,52,52,52,52,52,26,52,52,49,0,0,1,0
2781,2781,1,512062,5,59,1,1,0,1,0,0,0,1,56.208,8,435,12,12,5,8,0,0,0,0,0,0,0,0,318.32993,0,0,0,0,0,1398.7911,2716.2686,2575.4646,2200.939,2355.9473,4309.4072,18961.391,20097.328,19455.951,19311.652,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,47,48,43,52,52,52,52,52,52,0,0,0,0,1,0
2782,2782,1,473153,2,60,1,1,0,1,1,0,0,0,.116,8,,8,8,3,6,10367.693,,,,,21893.172,25184.523,24318.514,23874.744,23034.084,22118.951,17585.162,16683.703,,23313.186,33198.836,42924.41,,0,32012.738,,,,,,49,,,,,52,52,52,52,52,52,52,52,52,52,52,52,,52,52,,,,,,0,0,1,0
2783,2783,1,415286,3,62,1,1,0,1,1,0,0,1,47.692001,8,533,12,12,5,12,,,17354.506,47977.117,27115.771,43786.344,41974.207,4053.0854,23874.744,0,92162.297,35170.324,0,0,54397.434,45271.141,100156.95,0,0,,0,,0,40656.109,,12,0,25,47,27,47,47,32,32,36,52,52,52,52,52,52,52,52,52,52,52,52,52,52,,0,0,1,0
2784,2784,1,129252,12,62,1,0,1,1,0,0,1,0,15.11,10,366,12,12,,12,,,,10518.983,13874.236,12321.478,14690.972,6079.6284,11937.372,14972.155,14745.968,14068.129,12012.267,13928.688,12756.976,12525.016,17169.764,42116.734,30103.77,0,0,0,0,0,0,0,0,16,42,46,49,46,37,52,49,50,47,30,50,42,51,52,52,52,26,0,0,0,0,0,0,0,1,0
2785,2785,1,472837,5,60,1,1,0,1,0,0,0,1,37.738998,11,435,12,12,6,12,3331.0396,6007.0522,264.63107,2398.856,5423.1543,8100.4741,0,0,5968.686,2879.2605,0,451.93866,1034.3896,3201.9971,6527.6919,3018.0762,3577.0342,4075.813,5889.8682,19700.146,11850.869,22330.363,6310.0386,6098.4165,,27,18,7,11,18,21,0,0,22,16,0,13,52,52,52,40,47,52,20,52,52,43,52,52,,0,0,1,0
2786,2785,1,500995,6,64,1,1,0,1,1,0,0,0,.71100003,8,435,12,12,9,12,,,,,22006.709,10946.586,20987.104,24318.514,19895.621,36470.633,33178.426,31906.518,21355.141,27216.975,31084.248,30180.762,,,65442.977,73875.547,94806.953,,68358.75,,,,,,52,51,32,52,48,44,52,52,52,35,30,49,47,44,,34,49,52,,52,,,0,0,1,0
2787,2787,1,473390,8,63,1,1,0,1,1,0,0,0,82.074997,9,375,12,12,10,9,,,,1199.428,0,0,0,0,0,,23962.197,27257,27528.109,27216.975,27198.717,28219.012,18600.578,21737.67,22905.043,25856.443,28442.088,,,,,,,2,9,0,0,0,0,0,,46,52,52,52,52,52,16,52,52,52,52,,,,,0,0,1,0
2788,2788,1,472863.69,12,63,1,1,0,1,0,0,0,0,7.2280002,7,435,,,12,12,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,0,1,0
2789,2789,1,139347,6,60,1,0,0,1,0,0,1,1,20.296,8,554,12,12,,11,0,0,18524.174,17991.42,25985.947,25177.148,29381.943,32627.338,30838.211,,,,,,,,,,,,,,,,,0,0,52,29,52,52,49,52,52,,52,,,,,,,,,,,,,,,0,0,1,0
2790,2789,1,150705,1,59,1,0,1,1,0,0,1,,,11,417,12,12,10,11,0,901.05786,2117.0486,18279.281,0,0,0,0,0,0,0,0,0,0,0,1721.8124,0,8151.626,13088.596,,,,21033.461,,16479.811,0,0,40,49,0,0,0,0,0,0,0,0,0,0,0,0,0,52,13,,,,52,,52,0,0,1,0
2791,2789,1,133917,3,62,1,0,0,1,1,0,1,0,23.558001,13,520,14,14,,11,,,1323.1554,1631.222,1129.8239,28461.125,18888.393,0,9947.8105,32631.619,,47479.934,,,62168.496,,,63854.406,0,30781.479,0,,0,,0,52,52,31,13,28,52,50,51,52,43,33,52,52,52,52,52,,52,5,52,26,,0,,0,0,0,1,0
2792,2792,1,182313,7,58,1,1,0,1,0,0,1,1,4.7280002,12,394,12,12,,0,0,0,58.218834,3598.2839,155.9157,0,4407.2915,1418.58,0,0,5161.0889,16705.902,16683.703,16009.985,13987.911,16599.418,18600.578,20786.646,17015.174,0,0,0,0,0,0,0,0,0,11,0,0,17,10,0,0,50,52,52,51,52,52,52,52,41,0,0,0,0,0,0,0,0,1,0
2793,2792,1,142329,8,60,1,1,0,1,1,0,1,1,8.7799997,4,366,12,12,,12,,,2011.1962,1194.6302,18077.182,18215.119,10653.054,21076.045,7958.248,16507.76,,27696.629,17698.072,5603.4946,,,4292.4409,,13088.596,,,,,,,22,46,15,52,50,52,47,52,52,52,52,52,52,52,51,52,52,52,52,,,,,,,0,0,1,0
2794,2792,1,133917,5,62,1,0,1,1,1,0,1,0,5.211,9,457,12,12,,5,,,0,4646.584,8134.7314,3601.427,8604.7119,7700.8623,24125.43,28980.717,25805.443,8792.5811,20020.443,16009.985,21758.973,18108.457,,31247.9,32721.488,35706.516,29627.174,22330.363,22085.135,32524.889,,12,10,0,12,12,2,20,36,44,52,48,12,34,30,46,32,46,52,38,52,40,34,52,52,,0,0,1,0
2795,2795,1,130135,7,61,1,0,1,1,0,0,1,0,4.0019999,8,364,12,12,3,4,1923.0399,0,2199.0842,0,1129.8239,4726.7358,419.74207,6079.6284,33822.555,1919.5071,2211.8953,0,1334.6963,0,13987.911,9054.2285,1716.9763,4075.813,23559.473,14775.11,30812.262,0,0,0,0,9,0,10,0,0,22,22,27,12,0,13,5,9,21,0,0,13,9,52,52,52,52,0,0,0,0,0,1,0
2796,2795,1,150705,1,59,1,0,1,1,0,0,1,0,8.3100004,11,335,10,10,,3,1337.7668,0,0,0,0,70.058151,671.58728,0,,,,,,,,,,,,,,,,,,5,0,0,0,0,1,27,0,,,,,,,,,,,,,,,,,,0,0,1,0
2797,2795,1,167117,1,59,1,0,1,1,1,0,1,1,4.598,12,432,12,12,3,9,6688.8345,0,23816.797,19190.848,13474.279,8757.2695,20987.104,27358.326,49739.051,49907.184,51610.887,45721.418,46714.367,41625.961,49734.797,45271.141,42924.41,27172.088,28794.91,59100.441,71105.219,55825.91,50480.309,35574.098,24235.016,23,0,38,52,42,51,47,52,52,52,52,52,52,47,52,52,52,52,29,52,52,19,52,52,52,0,0,1,0
2798,2798,1,142329,9,60,1,1,0,1,1,0,1,1,9.809,11,366,12,12,4,12,,6247.3345,14279.492,14393.136,15817.533,15325.221,14730.848,14185.799,13926.935,17275.563,16589.213,22860.709,23857.695,12807.988,26045.492,,24180.75,35323.715,22250.611,22162.666,3555.261,,26291.826,0,0,52,48,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,0,0,0,0,1,0
2799,2798,1,167117,6,59,1,1,0,1,1,0,1,0,4.9990001,10,473,12,12,4,12,3535.0491,0,703.91864,3977.303,2157.9636,1444.9493,10073.81,13851.42,109.42591,13436.549,17252.783,,,,,,,,,,,,,,,31,2,4,45,52,7,26,52,52,52,52,,,,,,,,,,,,,,,0,0,1,0
2800,2800,1,521325,10,61,1,1,0,1,1,0,0,1,98.512001,9,417,16,16,12,12,,4204.9365,9526.7188,6956.6821,4519.2954,15325.221,15110.714,27927.785,59288.949,57660.07,61708.188,67205.211,62196.844,58526.102,57970.57,61564.227,71318.906,70647.43,259311.25,290577.16,4740.3477,39078.137,31550.193,,,46,33,16,28,50,51,51,27,52,52,52,52,52,52,52,52,52,52,51,52,52,48,52,,,0,0,1,0
2801,2801,1,415286,3,62,1,0,0,1,1,0,0,1,90.597,8,505,12,12,15,12,,9010.5781,11908.398,23988.559,27115.771,21893.172,22036.459,23305.242,24869.525,29752.359,35021.672,36928.84,36704.148,36822.965,41963.734,45271.141,41493.598,45377.387,47773.375,52944.145,54514,52476.355,59945.367,56918.555,53317.031,49,40,42,52,52,50,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,0,0,1,0
2802,2801,1,473390,11,63,1,0,0,1,1,0,0,0,65.610001,8,551,12,12,,12,,,,5997.1396,3163.5068,10946.586,33579.363,40530.855,43770.363,38390.141,22118.951,42204.387,58392.961,73645.93,77710.617,70924.789,80125.563,74723.242,70678.414,67719.258,68735.047,72573.68,68358.75,66066.18,67858.039,,,41,34,16,22,44,52,43,29,10,36,51,52,52,52,52,52,52,0,52,52,52,52,52,0,0,1,0
2803,2803,1,132102,9,61,1,1,0,1,1,0,1,1,18.985001,9,343,13,13,12,12,,2102.4683,3704.835,4317.9404,30505.244,28461.125,35678.074,42557.398,41780.805,47987.676,42394.656,43962.902,41208.746,48029.957,48180.586,45271.141,50078.477,50268.363,62825.258,61562.957,61624.523,64758.055,68358.75,71148.195,63011.039,52,44,42,52,52,52,47,52,52,52,52,52,52,52,52,52,52,52,52,52,0,52,52,52,52,0,0,1,0
2804,2803,1,129252,10,62,1,1,0,1,0,0,1,0,32.049,10,435,16,16,12,12,,,317.55728,3598.2839,1016.8414,2057.9583,4407.2915,5066.3569,23874.744,44148.66,42394.656,49238.453,52553.664,52032.453,61391.391,64134.117,64386.613,62088.219,64134.117,68950.516,105472.74,58058.945,73617.117,71148.195,66888.641,0,0,1,21,32,29,50,24,44,52,52,52,52,52,52,52,52,52,52,52,1,52,52,52,52,0,0,1,0
2805,2805,1,145077,7,62,1,0,0,1,1,0,1,1,14.953,11,545,14,14,,12,,,66.157768,2158.9702,2711.5771,3502.9077,1888.8392,17225.613,35812.117,43188.91,29491.936,31653.291,33367.406,43226.961,46626.371,45271.141,38631.969,47551.152,,,,,46799.453,,,0,0,0,8,9,39,29,34,49,39,50,52,51,51,52,52,51,46,52,52,,52,52,30,52,0,0,1,0
2806,2806,1,512268.22,9,63,1,1,0,1,0,0,0,0,72.699997,13,414,15,15,12,12,,,,11994.279,6778.9429,8757.2695,14690.972,30398.141,25864.307,17083.613,20275.705,26377.742,30030.666,27216.975,,3319.8838,60094.172,51626.965,40574.645,34105.879,34367.523,39078.137,42066.922,40656.109,37806.625,,,15,52,52,52,52,47,52,49,31,43,52,52,19,33,52,52,41,52,52,52,52,52,52,0,0,1,0
2807,2807,1,516643.03,7,63,1,1,0,1,1,0,0,0,17.576,12,438,11,11,9,10,,,793.89319,2398.856,13557.886,13135.903,16789.682,19454.811,39791.242,32631.619,42394.656,42204.387,35035.777,43226.961,49734.797,27162.686,38631.969,27172.088,,0,66364.867,312419.66,47325.289,66066.18,33929.02,,,22,20,47,21,52,47,41,52,52,52,52,52,50,52,51,51,,52,50,52,51,52,52,0,0,1,0
2808,2808,1,595309.5,6,64,1,0,0,1,0,0,0,0,27.856001,11,400,12,12,12,10,,,,,0,0,0,0,6583.4609,8253.8799,8294.6064,9554.0186,13663.953,10822.75,,9054.2285,12242.042,2751.1738,0,0,0,1071.8574,0,0,30982.043,,,,0,0,0,0,0,32,38,52,52,52,52,52,52,52,15,0,0,0,19,35,0,47,0,0,1,0
2809,2809,1,472837,8,60,1,1,0,1,0,0,0,1,86.026001,6,647,15,14,12,9,0,600.70526,0,7321.3081,11298.238,0,0,0,1780.6581,4798.7676,6451.3608,7034.0645,4170.9258,5603.4946,4662.6372,1358.1343,0,6113.7197,41883.504,19700.146,0,16747.773,26291.826,27442.875,0,0,23,11,15,27,0,0,0,10,52,52,44,8,8,13,22,0,18,52,22,0,52,52,52,0,0,0,1,0
2810,2809,1,455203.84,6,62,1,1,0,1,0,0,0,1,49.671001,10,647,12,12,12,9,,,0,19190.848,14461.745,10946.586,20147.619,19252.156,20890.402,24569.689,22524.467,21453.896,22523,20812.98,21758.973,23390.09,20854.109,0,0,66487.992,4740.3477,8932.1455,7361.7114,0,9694.0059,0,0,0,45,52,52,52,52,52,52,52,52,52,52,52,52,52,52,0,0,26,52,52,0,46,0,0,1,0
2811,2809,1,473390,6,63,1,1,0,1,1,0,0,0,24.308001,8,549,12,12,12,10,,,,359.82837,21466.652,32839.758,0,10132.714,21885.182,17275.563,19129.207,31653.291,27528.109,32019.971,28752.93,31689.799,32908.715,27172.088,31412.629,33243.996,17776.305,27912.955,31550.193,47770.93,0,,,0,0,37,43,0,23,51,44,45,52,52,52,52,52,52,52,52,52,32,52,52,52,0,0,0,1,0
2812,2809,1,500995,7,64,1,1,0,1,1,0,0,0,14.151,8,484,,,12,9,,,,,2259.6477,,,,,,,,,,,,,,,,,,,,,,,,0,4,,,,,,,,,,,,,,,,,,,,,0,0,1,0
2813,2813,1,568102,6,59,1,1,0,1,1,0,0,1,86.519997,8,647,16,16,12,12,2528.3794,7508.8154,4498.728,16791.99,33894.715,36123.734,35678.074,36477.77,41780.805,42229.156,55297.379,52755.484,50051.109,47389.555,43517.945,37725.953,34339.527,35323.715,52354.383,49250.367,71105.219,83738.867,73617.117,66066.18,58164.035,52,49,52,51,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,0,0,1,0
2814,2813,1,431432.28,9,61,1,1,0,1,0,0,0,1,71.794998,9,460,16,16,12,12,,8527.0107,6086.5146,839.59955,6778.9429,23793.5,41974.207,44583.941,49739.051,42229.156,47924.395,43962.902,63398.07,61478.344,77710.617,78469.977,78694.75,88309.281,98164.469,104657.03,315153.72,312419.66,323729.16,317446.97,,47,47,52,5,11,29,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,,0,0,1,0
2815,2813,1,500995,8,64,1,1,0,1,1,0,0,0,53.908001,10,522,13,13,12,12,,,,,2259.6477,13135.903,31480.654,32424.684,35812.117,40309.648,38708.164,38687.355,38372.516,36822.965,23313.186,32444.318,28616.273,30568.598,27836.824,27087.701,,39078.137,34705.211,38623.305,39745.426,,,,0,15,41,52,52,52,52,52,52,52,52,38,52,51,52,52,52,52,52,52,52,52,0,0,1,0
2816,2816,1,473153,8,60,1,1,0,1,1,0,0,1,13.683,10,520,12,12,12,7,0,1501.7631,39694.66,0,0,17514.539,20987.104,48637.027,47749.488,49907.184,47924.395,59789.547,75076.664,80049.93,93252.742,93560.359,100156.95,95102.305,81149.289,73875.547,82956.086,91554.492,94650.578,86394.234,85307.25,36,35,46,0,0,27,30,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,0,0,1,0
