pubid,avg_earn_2014_to_2018,hgc_ever,asvab,female,black,hispanic
492,11966.55320646138,19.0,597.3,1,0,0
500,75988.8918992143,15.0,544.09,0,0,0
501,0.0,14.0,82.18,0,0,0
502,43615.90747334786,15.0,669.87,0,0,0
503,59386.07434161072,20.0,522.27,0,0,0
504,6205.061834915156,11.0,193.88,1,0,0
506,175358.98130587913,17.0,698.45,0,0,0
507,36571.28968584004,14.0,91.52,1,0,0
508,41876.78431469766,10.0,205.32,0,0,1
509,35899.954055911716,20.0,279.12,1,1,0
511,72572.87494930047,12.0,197.06,0,0,1
515,44041.50139304644,13.0,147.34,1,0,1
522,49071.48348604073,11.0,156.06,0,0,1
523,0.0,13.0,320.67,1,0,0
524,312124.0813843135,17.0,297.4,0,0,1
527,0.0,20.0,935.6,0,0,0
528,16307.634164777022,14.0,553.07,1,0,0
529,73969.7766619514,18.0,904.58,1,0,1
534,34437.38966202913,12.0,244.44,1,0,1
535,183648.6677517784,20.0,724.73,1,0,0
536,76014.21086742345,16.0,266.53,0,0,1
537,44125.438247103855,11.0,53.05,0,0,0
538,19856.197871728502,11.0,150.14,1,0,0
542,80666.57056108733,17.0,776.04,1,1,0
543,58452.99376862638,14.0,619.88,0,0,1
544,121794.0745730227,18.0,953.02,0,0,0
545,28920.9590179621,12.0,458.86,0,1,0
546,151977.7837984286,19.0,926.87,0,0,0
547,0.0,16.0,912.9,0,0,0
548,14469.648807579179,14.0,651.06,1,0,0
551,94665.68702033845,17.0,913.23,0,0,0
554,23517.14048190395,10.0,299.28,0,0,0
555,114803.53070424328,20.0,822.74,0,0,0
556,8270.723069925763,16.0,821.53,1,0,0
557,51601.45205505006,20.0,718.08,1,0,1
559,44676.445211389124,15.0,704.69,1,0,0
560,0.0,13.0,192.4,1,0,0
561,48394.55766008829,14.0,659.18,0,0,0
562,13633.19623218859,14.0,193.05,1,0,1
563,0.0,10.0,30.29,0,0,0
564,100957.66343039996,14.0,810.35,0,0,0
565,29811.026821999454,18.0,514.65,0,0,1
566,0.0,12.0,482.96,1,0,1
567,98808.50369389782,12.0,323.8,0,0,0
568,70504.84312618121,12.0,461.28,0,0,0
569,116905.98753725276,10.0,219.26,0,0,0
570,0.0,11.0,233.97,1,0,0
571,37656.734829007626,12.0,33.28,0,0,0
573,6205.061834915156,10.0,90.55,1,0,1
574,2038.4542705971278,9.0,2.36,1,0,1
576,64245.42198973077,14.0,448.56,0,0,0
577,64329.03672193571,14.0,411.02,0,0,0
578,36754.13319697885,12.0,531.41,0,0,0
579,85270.96192701085,19.0,555.55,1,0,0
580,38068.900927741626,13.0,361.29,0,0,0
581,1034.1769724858593,16.0,289.83,0,0,0
582,46537.96376186368,11.0,80.72,1,0,0
583,1019.2271352985639,14.0,751.9,1,0,0
584,83784.19241082172,20.0,813.43,1,0,0
585,70816.33962733799,20.0,919.65,1,0,0
586,24220.965364758904,12.0,386.32,0,0,1
587,54479.23226608278,14.0,581.1,1,0,1
589,0.0,13.0,93.5,0,0,0
590,19334.783898941703,12.0,935.26,0,0,0
591,3416.718193938303,16.0,715.1,1,0,1
592,44455.0433332998,12.0,324.09,1,0,1
593,67492.82878282713,12.0,774.17,1,0,1
594,1948.4331256208795,10.0,0.0,1,1,0
597,0.0,14.0,627.73,1,0,0
598,103940.3379528772,16.0,302.24,0,0,1
599,67958.62398622616,13.0,255.66,1,0,1
600,65948.09796614555,13.0,142.95,0,0,1
603,77621.05454440149,11.0,58.25,0,0,1
604,35552.111535935604,12.0,266.2,1,0,1
605,20933.12515704376,9.0,254.1,1,0,1
606,0.0,13.0,707.61,0,0,0
607,42073.68748023749,17.0,405.3,1,0,0
608,39556.90199773276,15.0,810.71,0,0,0
609,113163.63961436316,17.0,505.3,1,0,0
610,12290.524972331948,13.0,451.69,1,0,0
611,39389.16619207965,13.0,662.49,0,0,0
612,87705.04282593365,19.0,952.62,0,0,0
613,78849.93826122025,16.0,828.22,0,0,0
618,65456.5346823392,12.0,599.93,0,0,1
619,52278.67551015791,12.0,166.62,0,0,1
624,55755.335710893014,13.0,326.03,1,0,1
627,52728.61245462473,14.0,983.73,0,0,0
628,59068.7749582351,17.0,510.88,0,0,0
629,0.0,14.0,237.69,1,0,0
630,123318.33306879351,13.0,633.61,0,0,0
632,96883.86145903562,18.0,939.03,1,0,0
633,96883.86145903562,18.0,921.88,1,0,0
634,0.0,16.0,408.96,1,0,0
635,10695.641165103756,13.0,642.48,1,0,0
638,115810.91457218448,16.0,972.25,0,0,0
640,152942.6856074701,14.0,549.11,0,0,0
642,0.0,18.0,720.46,0,0,0
643,89485.62673613678,16.0,702.2,0,0,0
647,30036.365067246952,15.0,290.55,0,0,0
648,273033.0515279265,12.0,211.87,0,0,0
649,116905.98753725276,20.0,491.54,0,0,0
650,0.0,17.0,232.06,1,0,0
653,31025.30917457578,12.0,915.68,0,0,0
654,46717.91055507621,16.0,807.27,1,0,0
655,0.0,12.0,267.92,1,0,0
659,35836.67224114427,12.0,870.47,0,0,1
660,37612.07461645035,10.0,649.18,1,0,1
661,95018.80986083474,12.0,145.9,0,0,1
662,37758.71584373371,13.0,40.67,0,0,1
664,33868.34954639956,13.0,449.4,0,1,0
666,312124.0813843135,20.0,781.35,1,0,0
667,63915.80465718629,17.0,600.34,1,0,0
668,105714.8775038349,20.0,708.11,1,0,0
669,68946.07213298745,17.0,682.57,0,1,0
672,10533.65528216847,17.0,228.63,1,1,0
673,127243.87617030065,16.0,750.99,0,1,0
675,31856.088497967565,14.0,89.2,1,1,0
676,51631.37622212171,20.0,276.64,1,1,0
677,33369.973240553845,12.0,36.76,1,1,0
680,15387.003811055933,20.0,415.46,0,1,0
681,12332.267914063917,12.0,515.82,1,1,0
682,66253.9765859533,18.0,222.17,1,1,0
683,57688.91882851017,16.0,131.43,0,1,0
684,17566.095434117913,12.0,165.23,1,1,0
685,0.0,12.0,168.41,0,1,0
686,13307.080287938648,14.0,259.33,1,0,0
687,102369.39837784572,11.0,498.36,0,0,0
688,75988.8918992143,13.0,134.01,0,0,1
689,37398.5269077848,12.0,240.66,1,0,1
694,48412.03105514322,15.0,607.68,0,0,1
698,16344.395129911645,14.0,603.47,1,1,0
700,2038.4542705971278,10.0,23.79,1,1,0
701,4383.974532646978,8.0,0.0,0,1,0
705,1075.5440513852939,12.0,257.36,1,0,0
706,70474.62132995416,16.0,443.22,0,0,0
707,87627.21475549215,16.0,386.21,1,0,0
708,0.0,14.0,368.1,1,1,0
709,16133.39078293649,15.0,352.16,1,0,1
710,27519.132653061224,17.0,478.67,1,1,0
712,0.0,16.0,180.49,0,1,0
713,32104.71901221867,11.0,2.82,1,1,0
715,45893.893507142726,16.0,604.94,1,1,0
716,35071.79626117583,10.0,233.8,0,0,1
717,0.0,13.0,41.66,0,1,0
719,129449.94645153062,20.0,731.76,0,1,0
720,122933.33913006455,13.0,824.27,0,0,0
721,7182.312823696836,17.0,859.8,1,0,1
722,64976.98025367685,15.0,966.62,0,0,0
723,105350.71998854258,14.0,475.03,0,0,1
725,127992.96170866069,19.0,913.93,1,1,0
726,181321.6691623065,19.0,990.18,0,1,0
727,55058.53410892199,20.0,978.11,1,1,0
728,41049.80479023487,14.0,150.42,1,1,0
729,85882.44603016802,16.0,699.45,0,1,0
731,312124.0813843135,18.0,960.22,0,0,0
732,39904.80894207937,18.0,738.21,1,0,0
734,199524.92589435657,16.0,924.65,1,0,0
735,149282.828895791,19.0,1000.0,1,0,0
737,83274.99014417385,14.0,746.67,0,0,0
738,37068.96175326228,19.0,913.94,0,0,0
739,17220.09933384991,20.0,978.59,1,0,0
740,53064.28639276316,20.0,991.82,1,0,0
741,106164.41246310242,18.0,798.02,1,0,0
742,37968.10248142342,17.0,922.99,1,0,0
743,137082.27608304113,18.0,870.47,0,0,0
745,94545.76620098762,17.0,975.02,0,0,0
746,59652.20196213477,16.0,970.67,0,0,0
748,90377.70908833346,14.0,584.38,1,1,0
749,5749.531501796385,15.0,195.53,1,1,0
750,4219.442047742306,0.0,23.59,0,1,0
751,16891.777556240315,12.0,96.74,1,1,0
752,5713.523043805886,12.0,55.44,0,1,0
754,86811.8330472533,12.0,642.0,0,0,1
755,120355.0801114624,17.0,418.35,1,0,0
757,102555.33168560559,20.0,759.48,1,0,0
761,0.0,12.0,289.94,0,0,0
763,22212.604041647854,20.0,963.15,0,0,0
764,0.0,14.0,223.02,0,1,0
765,97153.9004012673,14.0,561.76,0,0,1
767,93524.79002980221,18.0,705.62,1,0,0
768,73787.99934555357,17.0,265.72,0,1,0
770,0.0,12.0,618.88,1,0,0
772,14358.87891730367,20.0,1000.0,1,0,0
774,41286.877419935474,15.0,535.85,1,0,1
778,44910.6503371376,17.0,996.32,1,0,0
785,65666.37229062237,16.0,731.41,0,0,0
789,47164.90990454428,12.0,368.14,0,0,0
791,49832.72365855284,18.0,648.58,1,0,0
794,79155.72796396045,20.0,930.38,0,0,0
796,57584.765397326344,16.0,823.04,1,0,0
797,57638.6492355711,16.0,915.05,1,0,0
798,121014.80567881827,19.0,928.24,0,0,0
800,153359.3663297386,18.0,731.02,0,0,0
801,81686.38070834817,17.0,196.17,1,0,0
805,63790.19833948812,12.0,472.76,0,0,0
806,49685.04470333242,12.0,209.2,0,0,0
808,57284.524685316595,12.0,519.88,0,0,1
809,69715.13605442176,13.0,534.77,1,0,0
810,107968.07592752372,12.0,334.29,0,0,0
813,42986.93772878723,16.0,423.8,1,1,0
814,15009.18041912585,14.0,647.64,1,1,0
815,37819.81597389249,15.0,125.34,1,1,0
816,22827.0980780792,12.0,22.27,1,1,0
817,0.0,10.0,101.3,0,1,0
819,54263.68785938303,12.0,608.6,0,1,0
820,60960.104266016686,14.0,424.75,0,1,0
821,36943.334135494864,11.0,357.4,1,1,0
824,49563.022277150005,12.0,220.8,1,0,1
825,77093.37844656072,16.0,219.4,1,0,1
828,79737.24796837255,20.0,486.74,1,0,0
831,43391.158363236915,16.0,760.02,0,0,0
833,0.0,14.0,882.13,1,0,0
835,49521.018445308226,14.0,416.43,1,0,0
837,83814.65646555439,16.0,132.5,0,0,0
838,0.0,12.0,281.46,1,0,0
839,280006.26765600365,16.0,931.17,1,0,0
840,131878.36048371028,16.0,773.2,1,0,0
841,0.0,16.0,929.24,1,0,0
842,62260.771694031544,16.0,669.39,0,0,0
843,63472.1175914249,16.0,797.19,0,0,0
844,148802.77451114097,16.0,312.67,1,0,0
846,10986.284564917345,17.0,459.19,1,0,1
847,74641.55101612465,12.0,602.25,0,1,0
848,29219.998428558116,11.0,307.99,1,1,0
849,20488.708383503632,12.0,21.67,1,1,0
850,25057.81220586064,20.0,656.86,1,1,0
851,79101.7152769747,16.0,656.18,1,0,0
852,22563.3689120631,9.0,255.39,0,0,0
853,56151.94414375247,15.0,231.67,1,0,0
855,139930.0032782612,18.0,818.82,1,0,0
856,84593.33648670367,13.0,350.54,0,0,0
857,7913.096432238868,14.0,763.55,1,0,0
858,28786.434975973505,16.0,172.12,1,0,0
859,24251.026100059735,12.0,131.32,0,0,0
860,260802.32590434374,16.0,879.04,0,0,0
861,210129.1260200376,16.0,642.21,0,0,0
862,16337.533839151612,11.0,77.66,1,0,0
863,49611.03959028446,12.0,327.22,1,0,0
865,44724.784646376065,15.0,929.38,0,0,0
868,29616.183509437367,16.0,228.02,1,1,0
870,21417.802298293846,16.0,149.73,0,1,0
871,35431.55871922835,7.0,142.79,1,1,0
873,142034.32574955001,18.0,650.03,1,0,1
874,33048.552717875806,14.0,29.43,0,0,1
875,27410.088735510337,15.0,454.42,1,0,0
876,26214.272494638735,11.0,401.11,1,0,0
878,71042.99866748296,20.0,498.44,1,0,0
879,312124.0813843135,19.0,225.79,1,0,0
881,5845.299376862638,16.0,453.63,1,1,0
883,68064.3558144871,12.0,548.7,1,0,1
884,159234.88750282835,16.0,508.94,0,0,0
885,82810.03255289358,14.0,378.11,0,0,0
887,0.0,12.0,315.78,1,0,0
888,7598.8891899214295,16.0,423.59,1,0,0
890,51484.662298226205,10.0,240.15,0,1,0
892,14028.718504470331,12.0,157.83,1,1,0
893,57842.50690897935,18.0,553.22,0,0,1
894,115139.60662758104,17.0,350.79,0,0,1
895,104227.81035849037,16.0,240.99,0,0,1
897,23585.392741687636,17.0,707.18,1,0,0
898,84172.31102682199,12.0,751.73,0,0,0
899,63310.490569387686,13.0,419.09,1,0,0
901,39883.44044577223,17.0,604.34,1,0,0
903,72302.16727066677,13.0,198.64,0,0,1
904,25824.585869514558,9.0,260.78,1,0,1
906,43858.15926015255,14.0,117.54,1,0,0
908,0.0,12.0,72.27,1,0,0
909,29338.2041529915,12.0,38.0,0,0,0
912,98622.3526203294,19.0,478.3,1,1,0
913,0.0,14.0,242.94,1,0,0
915,124432.83255472877,17.0,718.05,1,0,0
916,188673.77287608714,16.0,702.88,1,0,0
918,312124.0813843135,16.0,895.02,0,0,0
919,246480.97969552097,19.0,637.07,1,0,0
922,122813.74043256619,18.0,714.71,1,0,1
923,10341.769724858594,16.0,250.09,1,0,0
924,92123.54081577074,16.0,516.95,1,1,0
929,281552.7759566968,19.0,960.75,0,0,0
930,27122.407617809313,13.0,300.12,1,0,1
931,146602.64423311254,20.0,919.34,1,1,0
933,74947.06758240651,18.0,884.46,1,0,0
934,28917.326728829292,16.0,930.17,1,0,0
935,130931.03366200025,19.0,883.03,1,0,1
936,0.0,15.0,462.39,0,0,0
939,133752.85158642117,14.0,412.92,1,0,0
940,21849.77494543885,20.0,977.54,0,0,0
943,5707.671957671958,16.0,767.46,0,0,0
945,104947.35976729247,14.0,954.9,1,0,0
946,383978.88512598205,20.0,810.17,0,0,0
951,0.0,18.0,665.79,1,0,0
953,15288.407029478456,16.0,534.42,0,0,0
955,28769.01828580089,16.0,686.13,1,0,0
956,62050.61834915156,17.0,832.62,0,0,0
957,50615.29239569866,14.0,966.0,0,0,0
959,60809.605982168534,16.0,140.42,0,0,0
961,232671.72169410437,16.0,658.59,1,0,0
962,89839.2804105734,14.0,724.45,0,0,0
963,131205.03222515696,19.0,972.87,0,0,0
964,78327.74650330112,16.0,980.04,1,0,1
